Domain	Phylum	Class	Order	Family	Genus
229	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia
230	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
231	Bacteria	Proteobacteria	Gammaproteobacteria	Unknown	Unknown	Candidatus Ruthia
232	Viruses	Unknown	Unknown	Unknown	Mimiviridae	Mimivirus
233	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Midichloria
234	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Liberibacter
235	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma
236	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter
237	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Caviibacter
238	Archaea	Thaumarchaeota	Unknown	Unknown	Unknown	Candidatus Nitrosopelagicus
239	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
240	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria	Candidatus Peribacterales	Unknown	Candidatus Peribacter
241	Bacteria	Actinobacteria	Actinobacteria	Unknown	Unknown	Candidatus Planktophila
242	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides
243	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister
244	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Catellicoccus
245	Bacteria	Firmicutes	Bacilli	Bacillales	Unknown	Gemella
246	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia
247	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Fructobacillus
248	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
249	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella
250	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Holospora
251	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Candidatus Methylopumilus
252	Archaea	Thaumarchaeota	Unknown	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosomarinus
253	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Negativicoccus
254	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis
255	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus
256	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
257	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Dichelobacter
258	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella
259	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia
260	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Coprothermobacter
261	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rhodoluna
262	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium
263	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
264	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Allofustis
265	Bacteria	Cyanobacteria	Unknown	Chroococcales	Aphanothecaceae	Candidatus Atelocyanobacterium
266	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Phoenicibacter
267	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Ileibacterium
268	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Lawsonia
269	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
270	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Occidentia
271	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Candidatus Endolissoclinum
272	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas
273	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Candidatus Methanoplasma
274	Bacteria	Spirochaetes	Spirochaetia	Brevinematales	Brevinemataceae	Brevinema
275	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
276	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Nosocomiicoccus
277	Bacteria	Proteobacteria	Gammaproteobacteria	Unknown	Unknown	Candidatus Thioglobus
278	Archaea	Euryarchaeota	Methanonatronarchaeia	Unknown	Unknown	Methanonatronarchaeum
279	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methermicoccaceae	Methermicoccus
280	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus
281	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium
282	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massiliomicrobiota
283	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
284	Bacteria	Aquificae	Aquificae	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium
285	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia
286	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
287	Bacteria	Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum
288	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter
289	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
290	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
291	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Helcococcus
292	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Rickettsiella
293	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma
294	Bacteria	Elusimicrobia	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium
295	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
296	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Cryptobacterium
297	Archaea	Thaumarchaeota	Unknown	Unknown	Unknown	Candidatus Nitrosotenuis
298	Bacteria	Firmicutes	Tissierellia	Unknown	Unknown	Kallipyga
299	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
300	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Taylorella
301	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
302	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
303	Archaea	Thaumarchaeota	Unknown	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
304	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
305	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Murdochiella
306	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium
307	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Allofrancisella
308	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Caminibacter
309	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna
310	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopobacter
311	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Candidatus Methanomethylophilus
312	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Sulfurivirga
313	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Jonquetella
